algorithm,min_cluster_size,min_samples,cluster_selection_method,n_clusters,noise_count,noise_fraction,clustered_count,clustered_fraction,smallest_cluster,largest_cluster,silhouette,calinski_harabasz,davies_bouldin,admissible,selection_score,xi,n_components,covariance_type,bic,aic,converged
GMM,,,,7,0,0.0,1838,1.0,8,939,0.15779224611201526,298.9771524350961,1.8715707954745067,,,,7.0,tied,18426.15685331404,18117.236588350766,True
GMM,,,,8,0,0.0,1838,1.0,6,975,0.15674334133367407,276.524914947965,1.7484471176372618,,,,8.0,tied,18248.03139769634,17906.01253291557,True
GMM,,,,9,0,0.0,1838,1.0,5,913,0.14294615873081506,286.17998163267004,1.551576602279346,,,,9.0,tied,18316.876764266475,17941.75929966821,True
GMM,,,,10,0,0.0,1838,1.0,4,579,0.11865601520965516,251.3129917067754,1.863912355458352,,,,10.0,tied,17839.266772144903,17431.050707729148,True
GMM,,,,1,0,0.0,1838,1.0,1838,1838,,,,,,,1.0,diag,23019.099495270624,22963.93516224147,True
GMM,,,,2,0,0.0,1838,1.0,395,1443,0.35891016389883057,457.57562773469135,1.5024937202111759,,,,2.0,diag,20769.164069205945,20653.318969844717,True
GMM,,,,3,0,0.0,1838,1.0,148,1304,0.2785274252610915,307.1747813489701,1.9528638375384855,,,,3.0,diag,19346.512624556868,19169.986758863568,True
GMM,,,,4,0,0.0,1838,1.0,57,940,0.21539317458399132,439.76583615562026,1.6090157220553958,,,,4.0,diag,18450.02417634333,18212.817544317957,True
GMM,,,,5,0,0.0,1838,1.0,47,602,0.15501718724544528,364.67569192554134,2.1107878073557362,,,,5.0,diag,17889.03606592177,17591.148667564325,True
GMM,,,,6,0,0.0,1838,1.0,40,594,0.16662579272183034,364.70332793330545,1.5840044373190318,,,,6.0,diag,17685.028946430633,17326.460781741116,True
GMM,,,,7,0,0.0,1838,1.0,38,583,0.14171246473097518,313.43671187625904,1.881639518167513,,,,7.0,diag,17559.66959193652,17140.42066091493,True
GMM,,,,8,0,0.0,1838,1.0,41,444,0.11398180152264738,273.6828170953079,2.2052383146253183,,,,8.0,diag,17462.87179435887,16982.942097005212,True
GMM,,,,9,0,0.0,1838,1.0,36,487,0.10444666699759955,243.72005573782658,2.128455707496198,,,,9.0,diag,17157.86687163742,16617.25640795169,True
GMM,,,,10,0,0.0,1838,1.0,33,316,0.09476275428309035,243.67013383128815,2.205788663226241,,,,10.0,diag,17083.461651279486,16482.170421261682,True
GMM,,,,1,0,0.0,1838,1.0,1838,1838,,,,,,,1.0,spherical,23836.651367873266,23803.55276805577,True
GMM,,,,2,0,0.0,1838,1.0,53,1785,0.6470377664995235,428.0556509111156,1.0934528548559699,,,,2.0,spherical,21225.15001324286,21153.436380304956,True
GMM,,,,3,0,0.0,1838,1.0,54,1434,0.3081457686352144,511.58059431517637,1.1627039929696201,,,,3.0,spherical,20269.11847166837,20158.789805610057,True
GMM,,,,4,0,0.0,1838,1.0,38,899,0.22364820728155463,457.58980588866467,1.7511538228012888,,,,4.0,spherical,19858.47441444009,19709.530715261368,True
GMM,,,,5,0,0.0,1838,1.0,38,726,0.2247101271072263,464.38037379109517,1.4487551019854643,,,,5.0,spherical,19625.88145488261,19438.322722583478,True
GMM,,,,6,0,0.0,1838,1.0,47,577,0.21883287720757044,415.65007639335005,1.3286346337957862,,,,6.0,spherical,19479.719606564988,19253.545841145446,True
GMM,,,,7,0,0.0,1838,1.0,48,485,0.2068275088380381,377.82592747539513,1.2941117110368978,,,,7.0,spherical,19259.83963063098,18995.05083209103,True
GMM,,,,8,0,0.0,1838,1.0,23,411,0.20302343316351984,398.3661078601471,1.4608875753308608,,,,8.0,spherical,19067.174870956307,18763.77103929595,True
GMM,,,,9,0,0.0,1838,1.0,23,403,0.1880232686897641,381.37749117749405,1.4739515735489042,,,,9.0,spherical,18990.182427803662,18648.163563022892,True
GMM,,,,10,0,0.0,1838,1.0,23,417,0.1856774710529351,368.12189117790325,1.427640295338889,,,,10.0,spherical,18909.665288183307,18529.03139028213,True
